Title,Pelna_cena,Powierzchnia,Powierchnia_dzialki,Ilosc_pieter
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
Lubczykowa Góra - domy w Poznaniu [20/1] [MDM],529 000 zł,"143,20 m²",272 m²,1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
Lubczykowa Góra - domy w Poznaniu [20/1] [MDM],529 000 zł,"143,20 m²",272 m²,1 piętro
Solidy dom ! Wszędzie blisko !,362 000 zł,72 m²,150 m²,1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Przytulny dom z ogródkiem, tuż obok Poznania !",425 000 zł,"72,93 m²","264,85 m²",1 piętro
Lubczykowa Góra - domy w Poznaniu [20/1] [MDM],529 000 zł,"143,20 m²",272 m²,1 piętro
Solidy dom ! Wszędzie blisko !,362 000 zł,72 m²,150 m²,1 piętro
Dom jednorodzinny w Poznaniu.,535 000 zł,85 m²,618 m²,1 piętro
Dom,890 000 zł,237 m²,498 m²,3 piętra i więcej
Grunwald – piękna willa miejska z ogrodem,2 100 000 zł,331 m²,700 m²,n/a
Lubczykowa Góra - domy w Poznaniu [20/1] [MDM],529 000 zł,"143,20 m²",272 m²,1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
"Willa miejska Poznań, ul. Radłowa OKAZJA",710 000 zł,190 m²,500 m²,1 piętro
